timestamp,event_id,user,host,source_ip,login_type,status,privilege_level
2026-07-30 07:00:00,AUTH1000,sarah.williams,FIN-PC-023,10.10.48.72,Interactive,Success,User
2026-07-30 07:03:00,AUTH1001,michael.brown,HR-PC-008,10.10.44.191,Interactive,Success,User
2026-07-30 07:06:00,AUTH1002,sarah.williams,FILE-SERVER-02,10.10.28.10,Interactive,Success,User
2026-07-30 07:07:00,AUTH1003,sarah.williams,FILE-SERVER-02,10.10.14.61,Interactive,Failure,User
2026-07-30 07:09:00,AUTH1004,daniel.thomas,FILE-SERVER-02,10.10.2.145,Interactive,Success,User
2026-07-30 07:12:00,AUTH1005,daniel.thomas,VPN-GW-01,10.10.15.116,Interactive,Success,User
2026-07-30 07:15:00,AUTH1006,john.smith,DC-SERVER-01,10.10.45.110,Interactive,Success,User
2026-07-30 07:18:00,AUTH1007,michael.brown,FIN-PC-011,10.10.49.88,Interactive,Success,User
2026-07-30 07:21:00,AUTH1008,james.taylor,HR-PC-008,10.10.23.218,Interactive,Success,User
2026-07-30 07:24:00,AUTH1009,david.wilson,FIN-PC-023,10.10.47.119,Interactive,Success,User
2026-07-30 07:27:00,AUTH1010,james.taylor,HR-PC-008,10.10.36.77,Interactive,Success,User
2026-07-30 07:30:00,AUTH1011,ava.jackson,ENG-PC-019,10.10.37.51,Interactive,Success,User
2026-07-30 07:33:00,AUTH1012,john.smith,FIN-PC-011,10.10.50.76,Interactive,Success,User
2026-07-30 07:36:00,AUTH1013,emily.davis,HR-PC-008,10.10.25.73,Interactive,Success,User
2026-07-30 07:39:00,AUTH1014,olivia.moore,DC-SERVER-01,10.10.24.92,Interactive,Success,User
2026-07-30 07:42:00,AUTH1015,david.wilson,HR-PC-008,10.10.39.164,Interactive,Success,User
2026-07-30 07:45:00,AUTH1016,emily.davis,DC-SERVER-01,10.10.30.99,Interactive,Success,User
2026-07-30 07:48:00,AUTH1017,daniel.thomas,FIN-PC-011,10.10.44.85,Interactive,Success,User
2026-07-30 07:51:00,AUTH1018,john.smith,FIN-PC-011,10.10.53.10,Interactive,Success,User
2026-07-30 07:54:00,AUTH1019,james.taylor,IT-PC-004,10.10.5.56,Interactive,Success,User
2026-07-30 07:57:00,AUTH1020,ava.jackson,ENG-PC-019,10.10.14.169,Interactive,Success,User
2026-07-30 08:00:00,AUTH1021,sophia.anderson,DC-SERVER-01,10.10.17.37,Interactive,Success,User
2026-07-30 08:03:00,AUTH1022,daniel.thomas,LEGAL-PC-006,10.10.17.193,Interactive,Success,User
2026-07-30 08:06:00,AUTH1023,ava.jackson,VPN-GW-01,10.10.24.58,Interactive,Success,User
2026-07-30 08:09:00,AUTH1024,michael.brown,LEGAL-PC-006,10.10.32.25,Interactive,Success,User
2026-07-30 08:12:00,AUTH1025,sarah.williams,DC-SERVER-01,10.10.41.42,Interactive,Success,User
2026-07-30 08:15:00,AUTH1026,james.taylor,FILE-SERVER-02,10.10.5.100,Interactive,Success,User
2026-07-30 08:18:00,AUTH1027,sophia.anderson,LEGAL-PC-006,10.10.17.250,Interactive,Success,User
2026-07-30 08:21:00,AUTH1028,john.smith,HR-PC-008,10.10.44.228,Interactive,Success,User
2026-07-30 08:24:00,AUTH1029,david.wilson,ENG-PC-019,10.10.8.77,Interactive,Success,User
2026-07-30 08:27:00,AUTH1030,sophia.anderson,FIN-PC-023,10.10.47.226,Interactive,Success,User
2026-07-30 08:30:00,AUTH1031,daniel.thomas,DC-SERVER-01,10.10.33.235,Interactive,Success,User
2026-07-30 08:33:00,AUTH1032,david.wilson,LEGAL-PC-006,10.10.39.52,Interactive,Success,User
2026-07-30 08:36:00,AUTH1033,michael.brown,LEGAL-PC-006,10.10.50.238,Interactive,Success,User
2026-07-30 08:39:00,AUTH1034,john.smith,FILE-SERVER-02,10.10.21.127,Interactive,Success,User
2026-07-30 08:40:00,AUTH1035,john.smith,FILE-SERVER-02,10.10.60.94,Interactive,Failure,User
2026-07-30 08:42:00,AUTH1036,david.wilson,FIN-PC-011,10.10.4.63,Interactive,Success,User
2026-07-30 08:45:00,AUTH1037,sarah.williams,HR-PC-008,10.10.47.126,Interactive,Success,User
2026-07-30 08:48:00,AUTH1038,daniel.thomas,DC-SERVER-01,10.10.9.170,Interactive,Success,User
2026-07-30 08:51:00,AUTH1039,daniel.thomas,DC-SERVER-01,10.10.17.137,Interactive,Success,User
2026-07-30 08:54:00,AUTH1040,james.taylor,FIN-PC-011,10.10.60.140,Interactive,Success,User
2026-07-30 08:57:00,AUTH1041,emily.davis,IT-PC-004,10.10.26.173,Interactive,Success,User
2026-07-30 09:00:00,AUTH1042,sophia.anderson,LEGAL-PC-006,10.10.29.32,Interactive,Success,User
2026-07-30 09:03:00,AUTH1043,sarah.williams,ENG-PC-019,10.10.2.152,Interactive,Success,User
