timestamp,host,query,response_ip,type
2026-07-30 07:00:00,SALES-PC-002,slack.com,28.125.151.128,A
2026-07-30 07:05:00,VPN-GW-01,cloudflare.com,142.31.44.72,A
2026-07-30 07:10:00,VPN-GW-01,slack.com,127.102.127.162,A
2026-07-30 07:15:00,LEGAL-PC-006,google.com,117.183.245.140,A
2026-07-30 07:20:00,SALES-PC-002,zoom.us,164.164.198.70,A
2026-07-30 07:25:00,DC-SERVER-01,google.com,101.112.15.230,A
2026-07-30 07:30:00,IT-PC-004,google.com,140.183.119.250,A
2026-07-30 07:35:00,DC-SERVER-01,office.com,83.123.136.137,A
2026-07-30 07:40:00,FIN-PC-023,github.com,167.198.181.240,A
2026-07-30 07:45:00,DC-SERVER-01,slack.com,80.162.183.234,A
2026-07-30 07:50:00,FILE-SERVER-02,google.com,200.180.72.145,A
2026-07-30 07:55:00,FIN-PC-011,novafinance.com,158.158.89.126,A
2026-07-30 08:00:00,FIN-PC-023,office.com,34.119.112.6,A
2026-07-30 08:05:00,LEGAL-PC-006,novafinance.com,20.169.103.207,A
2026-07-30 08:10:00,DC-SERVER-01,zoom.us,65.165.30.6,A
2026-07-30 08:15:00,DC-SERVER-01,aws.amazon.com,200.72.56.217,A
2026-07-30 08:20:00,LEGAL-PC-006,zoom.us,38.191.202.151,A
2026-07-30 08:25:00,HR-PC-008,zoom.us,97.165.69.250,A
2026-07-30 08:30:00,DC-SERVER-01,linkedin.com,183.249.162.45,A
2026-07-30 08:35:00,LEGAL-PC-006,aws.amazon.com,111.114.89.97,A
2026-07-30 08:40:00,IT-PC-004,salesforce.com,52.90.0.243,A
2026-07-30 08:45:00,FILE-SERVER-02,linkedin.com,165.16.93.155,A
2026-07-30 08:50:00,ENG-PC-019,aws.amazon.com,76.53.254.37,A
2026-07-30 08:55:00,ENG-PC-019,office.com,80.177.163.43,A
2026-07-30 09:00:00,HR-PC-008,zoom.us,134.5.135.54,A
2026-07-30 09:05:00,FIN-PC-011,office.com,109.131.55.185,A
2026-07-30 09:10:00,FIN-PC-023,google.com,118.224.214.249,A
2026-07-30 09:15:00,DC-SERVER-01,linkedin.com,146.193.179.140,A
2026-07-30 09:20:00,VPN-GW-01,office.com,142.115.83.116,A
2026-07-30 09:25:00,HR-PC-008,google.com,95.10.163.67,A
2026-07-30 09:30:00,HR-PC-008,office.com,107.87.192.42,A
2026-07-30 09:35:00,HR-PC-008,cloudflare.com,43.173.247.181,A
2026-07-30 09:40:00,FIN-PC-023,linkedin.com,187.84.222.41,A
2026-07-30 09:45:00,FIN-PC-023,office.com,104.105.97.105,A
2026-07-30 09:50:00,LEGAL-PC-006,cloudflare.com,87.144.152.61,A
2026-07-30 09:55:00,HR-PC-008,google.com,120.251.78.14,A
2026-07-30 10:00:00,ENG-PC-019,google.com,129.44.150.211,A
2026-07-30 10:05:00,FILE-SERVER-02,novafinance.com,71.49.13.53,A
2026-07-30 10:10:00,DC-SERVER-01,salesforce.com,40.242.59.79,A
2026-07-30 10:15:00,VPN-GW-01,novafinance.com,145.135.46.165,A
2026-07-30 10:20:00,LEGAL-PC-006,linkedin.com,67.189.195.95,A
2026-07-30 10:25:00,DC-SERVER-01,novafinance.com,31.134.225.120,A
2026-07-30 10:30:00,IT-PC-004,github.com,88.31.77.193,A
2026-07-30 10:35:00,HR-PC-008,office.com,191.176.211.249,A
2026-07-30 10:40:00,FILE-SERVER-02,github.com,161.31.198.210,A
2026-07-30 10:45:00,LEGAL-PC-006,linkedin.com,157.243.120.122,A
2026-07-30 10:50:00,IT-PC-004,office.com,121.17.75.31,A
2026-07-30 10:55:00,SALES-PC-002,slack.com,62.108.98.33,A
2026-07-30 11:00:00,FIN-PC-023,linkedin.com,40.222.103.211,A
2026-07-30 11:05:00,DC-SERVER-01,aws.amazon.com,86.163.34.23,A
2026-07-30 11:10:00,VPN-GW-01,cloudflare.com,121.166.141.134,A
2026-07-30 11:15:00,SALES-PC-002,google.com,199.214.57.107,A
2026-07-30 11:20:00,DC-SERVER-01,slack.com,165.51.54.145,A
2026-07-30 11:25:00,HR-PC-008,salesforce.com,157.176.210.68,A
2026-07-30 11:30:00,VPN-GW-01,novafinance.com,166.242.19.45,A
2026-07-30 11:35:00,IT-PC-004,linkedin.com,56.205.19.102,A
2026-07-30 11:40:00,ENG-PC-019,github.com,32.243.137.230,A
2026-07-30 11:45:00,ENG-PC-019,google.com,106.155.159.72,A
2026-07-30 11:50:00,SALES-PC-002,office.com,78.68.153.250,A
2026-07-30 11:55:00,SALES-PC-002,zoom.us,88.213.45.49,A
