timestamp,src_ip,destination_ip,destination_port,protocol,bytes_sent,domain,action
2026-07-30 07:00:00,10.10.22.43,137.131.95.4,443,HTTPS,40669,aws.amazon.com,allowed
2026-07-30 07:04:00,10.10.44.195,69.89.207.212,80,HTTPS,69538,zoom.us,allowed
2026-07-30 07:08:00,10.10.6.104,191.48.94.252,443,HTTPS,64580,zoom.us,allowed
2026-07-30 07:12:00,10.10.60.65,21.133.196.61,80,HTTPS,36995,zoom.us,allowed
2026-07-30 07:16:00,10.10.20.151,166.5.133.168,443,HTTPS,32972,google.com,allowed
2026-07-30 07:20:00,10.10.43.32,139.157.81.104,8443,HTTPS,42760,office.com,allowed
2026-07-30 07:24:00,10.10.41.236,95.188.113.57,443,HTTPS,64676,slack.com,allowed
2026-07-30 07:28:00,10.10.30.193,175.191.212.180,8443,HTTPS,63712,cloudflare.com,allowed
2026-07-30 07:32:00,10.10.52.172,75.126.41.135,80,HTTPS,71228,zoom.us,allowed
2026-07-30 07:36:00,10.10.5.236,164.57.31.213,8443,HTTPS,68255,github.com,allowed
2026-07-30 07:40:00,10.10.37.139,58.84.167.219,8443,HTTPS,59912,office.com,allowed
2026-07-30 07:44:00,10.10.44.54,169.250.46.231,8443,HTTPS,60390,google.com,allowed
2026-07-30 07:48:00,10.10.30.35,151.212.233.145,443,HTTPS,75242,novafinance.com,allowed
2026-07-30 07:52:00,10.10.44.208,98.11.202.66,443,HTTPS,30560,aws.amazon.com,allowed
2026-07-30 07:56:00,10.10.5.13,128.176.32.139,443,HTTPS,11046,novafinance.com,allowed
2026-07-30 08:00:00,10.10.3.75,124.92.69.197,80,HTTPS,51081,linkedin.com,allowed
2026-07-30 08:04:00,10.10.29.224,116.192.41.175,8443,HTTPS,19431,zoom.us,allowed
2026-07-30 08:08:00,10.10.8.47,157.201.65.187,443,HTTPS,2455,google.com,allowed
2026-07-30 08:12:00,10.10.20.120,192.217.194.211,443,HTTPS,34441,novafinance.com,allowed
2026-07-30 08:16:00,10.10.23.41,90.96.57.9,80,HTTPS,82599,google.com,allowed
2026-07-30 08:20:00,10.10.16.54,37.51.17.115,8443,HTTPS,8380,github.com,allowed
2026-07-30 08:24:00,10.10.48.13,122.224.119.139,443,HTTPS,9398,slack.com,allowed
2026-07-30 08:28:00,10.10.33.76,79.163.164.61,443,HTTPS,20777,cloudflare.com,allowed
2026-07-30 08:32:00,10.10.15.107,96.140.31.143,8443,HTTPS,24955,linkedin.com,allowed
2026-07-30 08:36:00,10.10.36.128,32.176.195.202,8443,HTTPS,43777,linkedin.com,allowed
2026-07-30 08:40:00,10.10.27.40,96.192.94.194,8443,HTTPS,64065,github.com,allowed
2026-07-30 08:44:00,10.10.55.59,96.73.237.235,443,HTTPS,75713,linkedin.com,allowed
2026-07-30 08:48:00,10.10.27.144,155.68.198.63,443,HTTPS,28651,zoom.us,allowed
2026-07-30 08:52:00,10.10.42.22,135.189.47.138,443,HTTPS,8755,salesforce.com,allowed
2026-07-30 08:56:00,10.10.25.174,174.20.37.49,8443,HTTPS,75249,github.com,allowed
2026-07-30 09:00:00,10.10.31.55,105.155.7.55,443,HTTPS,17376,novafinance.com,allowed
2026-07-30 09:04:00,10.10.59.64,198.104.203.235,443,HTTPS,74362,zoom.us,allowed
2026-07-30 09:08:00,10.10.50.74,117.238.183.79,443,HTTPS,49139,cloudflare.com,allowed
2026-07-30 09:12:00,10.10.57.129,139.50.240.195,443,HTTPS,28624,zoom.us,allowed
2026-07-30 09:16:00,10.10.21.107,31.113.74.5,443,HTTPS,74523,aws.amazon.com,allowed
2026-07-30 09:20:00,10.10.38.186,126.151.78.51,443,HTTPS,32149,linkedin.com,allowed
2026-07-30 09:24:00,10.10.37.215,82.255.172.66,80,HTTPS,86108,novafinance.com,allowed
2026-07-30 09:28:00,10.10.30.45,110.86.71.185,8443,HTTPS,66004,slack.com,allowed
2026-07-30 09:32:00,10.10.59.229,158.30.17.215,443,HTTPS,89584,google.com,allowed
2026-07-30 09:36:00,10.10.49.3,125.70.118.18,443,HTTPS,3198,github.com,allowed
2026-07-30 09:40:00,10.10.33.118,115.30.247.169,80,HTTPS,4061,google.com,allowed
2026-07-30 09:44:00,10.10.35.143,125.6.8.136,443,HTTPS,72220,salesforce.com,allowed
2026-07-30 09:48:00,10.10.2.130,198.220.91.28,443,HTTPS,70732,slack.com,allowed
2026-07-30 09:52:00,10.10.16.51,178.129.181.69,80,HTTPS,12357,zoom.us,allowed
2026-07-30 09:56:00,10.10.26.119,164.124.115.77,443,HTTPS,87686,google.com,allowed
2026-07-30 10:00:00,10.10.6.105,117.193.243.15,443,HTTPS,24463,office.com,allowed
2026-07-30 10:04:00,10.10.32.218,131.169.48.230,8443,HTTPS,7577,github.com,allowed
2026-07-30 10:08:00,10.10.14.232,197.243.138.12,443,HTTPS,38749,cloudflare.com,allowed
2026-07-30 10:12:00,10.10.37.170,28.91.161.5,443,HTTPS,78943,slack.com,allowed
2026-07-30 10:16:00,10.10.49.212,121.39.153.42,8443,HTTPS,33519,aws.amazon.com,allowed
2026-07-30 10:20:00,10.10.54.219,119.169.196.194,443,HTTPS,12279,cloudflare.com,allowed
2026-07-30 10:24:00,10.10.48.90,33.50.223.60,443,HTTPS,46642,aws.amazon.com,allowed
2026-07-30 10:28:00,10.10.50.159,172.203.167.8,443,HTTPS,61054,novafinance.com,allowed
2026-07-30 10:32:00,10.10.15.93,161.192.221.48,8443,HTTPS,88595,linkedin.com,allowed
2026-07-30 10:36:00,10.10.6.199,178.151.126.183,443,HTTPS,12752,salesforce.com,allowed
2026-07-30 10:40:00,10.10.10.99,182.78.199.82,443,HTTPS,15965,office.com,allowed
2026-07-30 10:44:00,10.10.1.243,98.227.184.195,443,HTTPS,15399,slack.com,allowed
2026-07-30 10:48:00,10.10.6.49,130.229.208.27,443,HTTPS,13746,zoom.us,allowed
2026-07-30 10:52:00,10.10.36.25,172.166.197.4,443,HTTPS,56238,linkedin.com,allowed
2026-07-30 10:56:00,10.10.50.23,163.124.86.176,80,HTTPS,24216,slack.com,allowed
2026-07-30 11:00:00,10.10.18.79,88.252.74.17,443,HTTPS,58973,salesforce.com,allowed
2026-07-30 11:04:00,10.10.27.78,143.39.184.65,443,HTTPS,83924,novafinance.com,allowed
2026-07-30 11:08:00,10.10.39.159,70.234.54.35,443,HTTPS,2887,linkedin.com,allowed
2026-07-30 11:12:00,10.10.22.217,178.194.168.113,443,HTTPS,58441,aws.amazon.com,allowed
2026-07-30 11:16:00,10.10.9.78,102.102.245.81,443,HTTPS,54198,zoom.us,allowed
2026-07-30 11:20:00,10.10.19.190,197.251.124.84,80,HTTPS,38739,linkedin.com,allowed
2026-07-30 11:24:00,10.10.24.31,164.102.92.175,8443,HTTPS,5527,novafinance.com,allowed
2026-07-30 11:28:00,10.10.46.55,132.149.35.210,80,HTTPS,67444,slack.com,allowed
2026-07-30 11:32:00,10.10.41.79,81.129.78.184,80,HTTPS,51412,office.com,allowed
2026-07-30 11:36:00,10.10.29.155,142.205.214.140,443,HTTPS,49124,cloudflare.com,allowed
2026-07-30 11:40:00,10.10.39.165,41.55.127.169,443,HTTPS,23802,aws.amazon.com,allowed
2026-07-30 11:44:00,10.10.3.146,185.204.169.248,80,HTTPS,15886,google.com,allowed
2026-07-30 11:48:00,10.10.7.68,76.113.228.96,80,HTTPS,62694,aws.amazon.com,allowed
2026-07-30 11:52:00,10.10.45.130,58.176.12.124,443,HTTPS,40722,linkedin.com,allowed
2026-07-30 11:56:00,10.10.59.248,41.59.72.90,443,HTTPS,46966,novafinance.com,allowed
2026-07-30 12:00:00,10.10.51.54,153.247.178.122,443,HTTPS,59431,novafinance.com,allowed
2026-07-30 12:04:00,10.10.21.19,96.22.58.6,443,HTTPS,86930,office.com,allowed
2026-07-30 12:08:00,10.10.44.206,62.124.89.142,443,HTTPS,45383,cloudflare.com,allowed
2026-07-30 12:12:00,10.10.28.247,138.118.207.162,443,HTTPS,26430,linkedin.com,allowed
2026-07-30 12:16:00,10.10.26.9,177.101.230.152,80,HTTPS,52965,google.com,allowed
2026-07-30 12:20:00,10.10.46.56,72.142.32.148,443,HTTPS,72371,slack.com,allowed
2026-07-30 12:24:00,10.10.24.85,70.234.58.68,80,HTTPS,71168,zoom.us,allowed
2026-07-30 12:28:00,10.10.39.101,176.200.58.90,443,HTTPS,62012,aws.amazon.com,allowed
2026-07-30 12:32:00,10.10.12.210,192.152.43.173,443,HTTPS,43049,office.com,allowed
2026-07-30 12:36:00,10.10.16.80,49.93.191.178,443,HTTPS,68954,linkedin.com,allowed
2026-07-30 12:40:00,10.10.27.154,55.196.216.48,80,HTTPS,85296,cloudflare.com,allowed
2026-07-30 12:44:00,10.10.45.237,185.88.85.126,443,HTTPS,20388,slack.com,allowed
2026-07-30 12:48:00,10.10.21.217,135.27.183.244,443,HTTPS,65518,slack.com,allowed
2026-07-30 12:52:00,10.10.13.210,118.253.209.176,80,HTTPS,56477,novafinance.com,allowed
2026-07-30 12:56:00,10.10.32.44,41.15.112.75,443,HTTPS,38025,github.com,allowed
2026-07-30 13:00:00,10.10.35.75,63.234.253.141,8443,HTTPS,16838,aws.amazon.com,allowed
2026-07-30 13:04:00,10.10.8.70,159.187.21.195,80,HTTPS,73611,github.com,allowed
2026-07-30 13:08:00,10.10.28.28,187.126.152.224,443,HTTPS,60947,salesforce.com,allowed
2026-07-30 13:12:00,10.10.23.222,42.224.60.199,443,HTTPS,29509,aws.amazon.com,allowed
2026-07-30 13:16:00,10.10.45.91,176.219.84.158,443,HTTPS,29082,github.com,allowed
2026-07-30 13:20:00,10.10.52.17,165.179.143.153,8443,HTTPS,24069,zoom.us,allowed
2026-07-30 13:24:00,10.10.46.76,94.136.48.35,80,HTTPS,9770,salesforce.com,allowed
2026-07-30 13:28:00,10.10.56.169,52.67.127.38,443,HTTPS,34447,linkedin.com,allowed
2026-07-30 13:32:00,10.10.32.38,167.137.212.97,80,HTTPS,11898,office.com,allowed
2026-07-30 13:36:00,10.10.26.133,91.188.232.244,80,HTTPS,44898,aws.amazon.com,allowed
2026-07-30 13:40:00,10.10.1.224,43.234.183.218,443,HTTPS,72048,linkedin.com,allowed
2026-07-30 13:44:00,10.10.14.249,129.108.253.69,443,HTTPS,39171,zoom.us,allowed
2026-07-30 13:48:00,10.10.36.149,53.248.175.229,443,HTTPS,8021,office.com,allowed
2026-07-30 13:52:00,10.10.41.202,137.8.63.238,443,HTTPS,59840,novafinance.com,allowed
2026-07-30 13:56:00,10.10.1.247,129.103.67.226,443,HTTPS,22837,salesforce.com,allowed
2026-07-30 14:00:00,10.10.6.169,112.128.42.96,443,HTTPS,8787,linkedin.com,allowed
2026-07-30 14:04:00,10.10.41.80,199.119.219.168,443,HTTPS,14475,google.com,allowed
2026-07-30 14:08:00,10.10.14.124,39.67.115.133,80,HTTPS,3217,google.com,allowed
2026-07-30 14:12:00,10.10.45.89,50.216.67.123,443,HTTPS,32008,linkedin.com,allowed
2026-07-30 14:16:00,10.10.6.189,46.52.160.95,443,HTTPS,19973,linkedin.com,allowed
2026-07-30 14:20:00,10.10.50.210,54.73.35.136,8443,HTTPS,3110,aws.amazon.com,allowed
2026-07-30 14:24:00,10.10.42.44,132.179.109.161,443,HTTPS,55963,aws.amazon.com,allowed
2026-07-30 14:28:00,10.10.44.115,75.44.51.36,443,HTTPS,79276,linkedin.com,allowed
2026-07-30 14:32:00,10.10.23.248,129.161.71.64,443,HTTPS,86491,office.com,allowed
2026-07-30 14:36:00,10.10.16.143,173.145.13.218,443,HTTPS,28928,cloudflare.com,allowed
2026-07-30 14:40:00,10.10.39.132,68.200.151.166,443,HTTPS,33370,novafinance.com,allowed
2026-07-30 14:44:00,10.10.25.30,81.255.36.136,443,HTTPS,49329,zoom.us,allowed
2026-07-30 14:48:00,10.10.9.101,165.215.187.140,443,HTTPS,63736,office.com,allowed
2026-07-30 14:52:00,10.10.2.152,37.7.134.56,443,HTTPS,9925,linkedin.com,allowed
2026-07-30 14:56:00,10.10.33.75,180.212.216.180,80,HTTPS,12803,cloudflare.com,allowed
2026-07-30 15:00:00,10.10.35.159,59.142.42.80,443,HTTPS,69017,github.com,allowed
2026-07-30 15:04:00,10.10.52.41,157.167.200.151,443,HTTPS,42654,linkedin.com,allowed
2026-07-30 15:08:00,10.10.47.246,81.29.125.23,80,HTTPS,17202,novafinance.com,allowed
2026-07-30 15:12:00,10.10.40.157,34.158.89.31,443,HTTPS,19984,google.com,allowed
2026-07-30 15:16:00,10.10.11.129,108.132.85.96,443,HTTPS,37227,office.com,allowed
2026-07-30 15:20:00,10.10.50.232,27.171.219.70,8443,HTTPS,10371,salesforce.com,allowed
2026-07-30 15:24:00,10.10.46.149,180.39.254.117,8443,HTTPS,49202,google.com,allowed
2026-07-30 15:28:00,10.10.32.221,165.85.188.41,443,HTTPS,15487,aws.amazon.com,allowed
2026-07-30 15:32:00,10.10.44.187,49.116.1.12,443,HTTPS,34053,google.com,allowed
2026-07-30 15:36:00,10.10.31.95,118.76.91.239,443,HTTPS,74465,linkedin.com,allowed
2026-07-30 15:40:00,10.10.15.84,83.213.163.70,443,HTTPS,76912,zoom.us,allowed
2026-07-30 15:44:00,10.10.8.130,192.26.91.58,8443,HTTPS,8019,linkedin.com,allowed
2026-07-30 15:48:00,10.10.5.226,139.144.159.84,443,HTTPS,74494,novafinance.com,allowed
2026-07-30 15:52:00,10.10.1.96,71.149.155.190,8443,HTTPS,33795,novafinance.com,allowed
2026-07-30 15:56:00,10.10.24.153,146.100.125.39,443,HTTPS,55744,google.com,allowed
2026-07-30 16:00:00,10.10.15.140,108.4.171.1,80,HTTPS,42306,office.com,allowed
2026-07-30 16:04:00,10.10.14.137,80.214.251.247,443,HTTPS,20661,salesforce.com,allowed
2026-07-30 16:08:00,10.10.6.13,79.211.190.118,443,HTTPS,78122,office.com,allowed
2026-07-30 16:12:00,10.10.33.36,183.201.38.152,8443,HTTPS,10163,linkedin.com,allowed
2026-07-30 16:16:00,10.10.43.248,53.121.149.67,443,HTTPS,53505,zoom.us,allowed
2026-07-30 16:20:00,10.10.21.117,89.119.38.242,443,HTTPS,19840,aws.amazon.com,allowed
2026-07-30 16:24:00,10.10.7.41,47.84.230.120,443,HTTPS,55282,office.com,allowed
2026-07-30 16:28:00,10.10.35.93,73.231.157.119,443,HTTPS,17717,office.com,allowed
2026-07-30 16:32:00,10.10.11.208,195.155.20.56,443,HTTPS,21441,office.com,allowed
2026-07-30 16:36:00,10.10.46.65,111.202.25.174,443,HTTPS,36100,slack.com,allowed
2026-07-30 16:40:00,10.10.2.245,123.231.127.25,80,HTTPS,15357,slack.com,allowed
2026-07-30 16:44:00,10.10.8.5,35.113.66.51,80,HTTPS,50790,office.com,allowed
2026-07-30 16:48:00,10.10.38.152,86.38.11.17,443,HTTPS,86670,novafinance.com,allowed
2026-07-30 16:52:00,10.10.52.34,43.169.62.11,80,HTTPS,8637,slack.com,allowed
2026-07-30 16:56:00,10.10.60.148,130.202.254.8,80,HTTPS,57923,slack.com,allowed
2026-07-30 10:20:00,10.10.20.15,185.22.91.45,443,HTTPS,499449,update-security-check.com,allowed
2026-07-30 10:21:00,10.10.20.15,185.22.91.45,443,HTTPS,498879,update-security-check.com,allowed
2026-07-30 10:22:00,10.10.20.15,185.22.91.45,443,HTTPS,501720,update-security-check.com,allowed
2026-07-30 10:23:00,10.10.20.15,185.22.91.45,443,HTTPS,498766,update-security-check.com,allowed
2026-07-30 10:24:00,10.10.20.15,185.22.91.45,443,HTTPS,499126,update-security-check.com,allowed
2026-07-30 10:25:00,10.10.20.15,185.22.91.45,443,HTTPS,499146,update-security-check.com,allowed
