timestamp,event_id,host,user,process,parent,target,details
2026-07-30 07:00:00,1,VPN-GW-01,sophia.anderson,slack.exe,explorer.exe,-,normal process creation
2026-07-30 07:03:00,1,DC-SERVER-01,sarah.williams,teams.exe,explorer.exe,-,normal process creation
2026-07-30 07:06:00,1,FIN-PC-023,michael.brown,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 07:09:00,1,VPN-GW-01,ava.jackson,code.exe,explorer.exe,-,normal process creation
2026-07-30 07:12:00,1,FILE-SERVER-02,sophia.anderson,teams.exe,explorer.exe,-,normal process creation
2026-07-30 07:15:00,1,FILE-SERVER-02,james.taylor,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 07:18:00,1,FILE-SERVER-02,john.smith,teams.exe,explorer.exe,-,normal process creation
2026-07-30 07:21:00,1,SALES-PC-002,sophia.anderson,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 07:24:00,1,VPN-GW-01,sophia.anderson,chrome.exe,explorer.exe,-,normal process creation
2026-07-30 07:27:00,1,HR-PC-008,david.wilson,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 07:30:00,1,FIN-PC-023,daniel.thomas,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 07:33:00,1,FILE-SERVER-02,emily.davis,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 07:36:00,1,LEGAL-PC-006,daniel.thomas,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 07:39:00,1,HR-PC-008,james.taylor,excel.exe,explorer.exe,-,normal process creation
2026-07-30 07:42:00,1,SALES-PC-002,olivia.moore,slack.exe,explorer.exe,-,normal process creation
2026-07-30 07:45:00,1,DC-SERVER-01,daniel.thomas,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 07:48:00,1,FIN-PC-023,john.smith,teams.exe,explorer.exe,-,normal process creation
2026-07-30 07:51:00,1,LEGAL-PC-006,sophia.anderson,code.exe,explorer.exe,-,normal process creation
2026-07-30 07:54:00,1,DC-SERVER-01,sarah.williams,code.exe,explorer.exe,-,normal process creation
2026-07-30 07:57:00,1,ENG-PC-019,emily.davis,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 08:00:00,1,IT-PC-004,john.smith,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 08:03:00,1,FIN-PC-011,daniel.thomas,slack.exe,explorer.exe,-,normal process creation
2026-07-30 08:06:00,1,VPN-GW-01,emily.davis,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 08:09:00,1,SALES-PC-002,sophia.anderson,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 08:12:00,1,SALES-PC-002,sarah.williams,code.exe,explorer.exe,-,normal process creation
2026-07-30 08:15:00,1,SALES-PC-002,olivia.moore,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 08:18:00,1,SALES-PC-002,john.smith,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 08:21:00,1,VPN-GW-01,james.taylor,chrome.exe,explorer.exe,-,normal process creation
2026-07-30 08:24:00,1,LEGAL-PC-006,daniel.thomas,chrome.exe,explorer.exe,-,normal process creation
2026-07-30 08:27:00,1,HR-PC-008,ava.jackson,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 08:30:00,1,IT-PC-004,daniel.thomas,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 08:33:00,1,FIN-PC-011,sophia.anderson,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 08:36:00,1,ENG-PC-019,john.smith,excel.exe,explorer.exe,-,normal process creation
2026-07-30 08:39:00,1,SALES-PC-002,olivia.moore,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 08:42:00,1,FILE-SERVER-02,ava.jackson,code.exe,explorer.exe,-,normal process creation
2026-07-30 08:45:00,1,ENG-PC-019,sophia.anderson,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 08:48:00,1,HR-PC-008,emily.davis,chrome.exe,explorer.exe,-,normal process creation
2026-07-30 08:51:00,1,ENG-PC-019,olivia.moore,explorer.exe,explorer.exe,-,normal process creation
2026-07-30 08:54:00,1,LEGAL-PC-006,daniel.thomas,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 08:57:00,1,HR-PC-008,john.smith,teams.exe,explorer.exe,-,normal process creation
2026-07-30 09:00:00,1,SALES-PC-002,michael.brown,slack.exe,explorer.exe,-,normal process creation
2026-07-30 09:03:00,1,HR-PC-008,david.wilson,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 09:06:00,1,FIN-PC-011,emily.davis,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 09:09:00,1,VPN-GW-01,emily.davis,code.exe,explorer.exe,-,normal process creation
2026-07-30 09:12:00,1,FIN-PC-011,olivia.moore,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 09:15:00,1,VPN-GW-01,john.smith,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 09:18:00,1,HR-PC-008,sophia.anderson,code.exe,explorer.exe,-,normal process creation
2026-07-30 09:21:00,1,FILE-SERVER-02,daniel.thomas,teams.exe,explorer.exe,-,normal process creation
2026-07-30 09:24:00,1,SALES-PC-002,john.smith,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 09:27:00,1,FIN-PC-023,daniel.thomas,slack.exe,explorer.exe,-,normal process creation
2026-07-30 09:30:00,1,FILE-SERVER-02,sophia.anderson,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 09:33:00,1,DC-SERVER-01,ava.jackson,teams.exe,explorer.exe,-,normal process creation
2026-07-30 09:36:00,1,DC-SERVER-01,sarah.williams,slack.exe,explorer.exe,-,normal process creation
2026-07-30 09:39:00,1,FILE-SERVER-02,ava.jackson,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 09:42:00,1,LEGAL-PC-006,james.taylor,slack.exe,explorer.exe,-,normal process creation
2026-07-30 09:45:00,1,FILE-SERVER-02,emily.davis,explorer.exe,explorer.exe,-,normal process creation
2026-07-30 09:48:00,1,VPN-GW-01,olivia.moore,explorer.exe,explorer.exe,-,normal process creation
2026-07-30 09:51:00,1,SALES-PC-002,michael.brown,teams.exe,explorer.exe,-,normal process creation
2026-07-30 09:54:00,1,VPN-GW-01,ava.jackson,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 09:57:00,1,IT-PC-004,daniel.thomas,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 10:00:00,1,LEGAL-PC-006,emily.davis,excel.exe,explorer.exe,-,normal process creation
2026-07-30 10:03:00,1,FIN-PC-011,ava.jackson,explorer.exe,explorer.exe,-,normal process creation
2026-07-30 10:06:00,1,ENG-PC-019,michael.brown,teams.exe,explorer.exe,-,normal process creation
2026-07-30 10:09:00,1,LEGAL-PC-006,daniel.thomas,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 10:12:00,1,HR-PC-008,olivia.moore,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 10:15:00,1,SALES-PC-002,ava.jackson,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 10:18:00,1,VPN-GW-01,daniel.thomas,explorer.exe,explorer.exe,-,normal process creation
2026-07-30 10:21:00,1,VPN-GW-01,john.smith,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 10:24:00,1,HR-PC-008,john.smith,slack.exe,explorer.exe,-,normal process creation
2026-07-30 10:27:00,1,DC-SERVER-01,john.smith,chrome.exe,explorer.exe,-,normal process creation
2026-07-30 10:30:00,1,FIN-PC-011,david.wilson,teams.exe,explorer.exe,-,normal process creation
2026-07-30 10:33:00,1,IT-PC-004,david.wilson,teams.exe,explorer.exe,-,normal process creation
2026-07-30 10:36:00,1,FIN-PC-023,david.wilson,excel.exe,explorer.exe,-,normal process creation
2026-07-30 10:39:00,1,LEGAL-PC-006,john.smith,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 10:42:00,1,SALES-PC-002,sarah.williams,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 10:45:00,1,LEGAL-PC-006,emily.davis,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 10:48:00,1,VPN-GW-01,emily.davis,notepad.exe,explorer.exe,-,normal process creation
2026-07-30 10:51:00,1,IT-PC-004,john.smith,slack.exe,explorer.exe,-,normal process creation
2026-07-30 10:54:00,1,VPN-GW-01,james.taylor,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 10:57:00,1,LEGAL-PC-006,john.smith,chrome.exe,explorer.exe,-,normal process creation
2026-07-30 11:00:00,1,IT-PC-004,emily.davis,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 11:03:00,1,SALES-PC-002,emily.davis,onedrive.exe,explorer.exe,-,normal process creation
2026-07-30 11:06:00,1,FILE-SERVER-02,daniel.thomas,acrobat.exe,explorer.exe,-,normal process creation
2026-07-30 11:09:00,1,FIN-PC-011,emily.davis,explorer.exe,explorer.exe,-,normal process creation
2026-07-30 11:12:00,1,SALES-PC-002,michael.brown,outlook.exe,explorer.exe,-,normal process creation
2026-07-30 11:15:00,1,DC-SERVER-01,michael.brown,notepad.exe,explorer.exe,-,normal process creation
